▲ Next.js 16.2.3 (webpack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 374ms

○ Compiling / ...
 GET / 200 in 39ms (next.js: 1874µs, application-code: 37ms)
 GET / 200 in 39ms (next.js: 1806µs, application-code: 37ms)
 GET / 200 in 41ms (next.js: 1758µs, application-code: 40ms)
 GET / 200 in 43ms (next.js: 1563µs, application-code: 42ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 47ms (next.js: 1952µs, application-code: 45ms)
 GET / 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 36ms (next.js: 1693µs, application-code: 35ms)
 GET / 200 in 39ms (next.js: 1582µs, application-code: 37ms)
 GET / 200 in 48ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 39ms (next.js: 1739µs, application-code: 38ms)
 GET / 200 in 34ms (next.js: 1840µs, application-code: 32ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 42ms (next.js: 1626µs, application-code: 40ms)
 GET / 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 28ms (next.js: 1153µs, application-code: 26ms)
 GET / 200 in 29ms (next.js: 1561µs, application-code: 27ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 34ms (next.js: 2ms, application-code: 32ms)
 GET / 200 in 39ms (next.js: 1856µs, application-code: 37ms)
 GET / 200 in 47ms (next.js: 3ms, application-code: 45ms)
 GET / 200 in 48ms (next.js: 5ms, application-code: 44ms)
 GET / 200 in 49ms (next.js: 1583µs, application-code: 48ms)
 GET / 200 in 43ms (next.js: 5ms, application-code: 38ms)
 GET / 200 in 45ms (next.js: 1951µs, application-code: 43ms)
 GET / 200 in 49ms (next.js: 1598µs, application-code: 47ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 40ms)
 GET / 200 in 39ms (next.js: 1976µs, application-code: 37ms)
 GET / 200 in 35ms (next.js: 1856µs, application-code: 33ms)
 GET / 200 in 42ms (next.js: 1665µs, application-code: 41ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 41ms (next.js: 1192µs, application-code: 40ms)
